Year;Date;Home_Team;Away_Team;Home_Score;Away_Score;Shootout;Tournament;City;Country;Neutral_Venue;WinningTeam;first_shooter;Losing_Team
1956;01/09/1956;Hong Kong;Israel;2.0;3.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;FALSE;Israel;;Hong Kong
1956;06/09/1956;Hong Kong;South Korea;2.0;2.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;FALSE;Draw;;Draw
1956;08/09/1956;Israel;South Korea;1.0;2.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;TRUE;South Korea;;Israel
1956;09/09/1956;Hong Kong;Vietnam Republic;2.0;2.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;FALSE;Draw;;Draw
1956;12/09/1956;Israel;Vietnam Republic;2.0;1.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;TRUE;Israel;;Vietnam Republic
1956;15/09/1956;South Korea;Vietnam Republic;5.0;3.0;FALSE;AFC Asian Cup;So Kon Po;Hong Kong;TRUE;South Korea;;Vietnam Republic
1960;14/10/1960;South Korea;Vietnam Republic;5.0;1.0;FALSE;AFC Asian Cup;Seoul;South Korea;FALSE;South Korea;;Vietnam Republic
1960;16/10/1960;Taiwan;Vietnam Republic;2.0;0.0;FALSE;AFC Asian Cup;Seoul;South Korea;TRUE;Taiwan;;Vietnam Republic
1960;17/10/1960;South Korea;Israel;3.0;0.0;FALSE;AFC Asian Cup;Seoul;South Korea;FALSE;South Korea;;Israel
1960;19/10/1960;Israel;Vietnam Republic;5.0;1.0;FALSE;AFC Asian Cup;Seoul;South Korea;TRUE;Israel;;Vietnam Republic
1960;21/10/1960;South Korea;Taiwan;1.0;0.0;FALSE;AFC Asian Cup;Seoul;South Korea;FALSE;South Korea;;Taiwan
1960;23/10/1960;Israel;Taiwan;1.0;0.0;FALSE;AFC Asian Cup;Seoul;South Korea;TRUE;Israel;;Taiwan
1964;26/05/1964;Israel;Hong Kong;1.0;0.0;FALSE;AFC Asian Cup;Ramat-Gan;Israel;FALSE;Israel;;Hong Kong
