No;X1 transaction date;X2 house age;X3 distance to the nearest MRT station;X4 number of convenience stores;X5 latitude;X6 longitude;Y house price of unit area
1;2.012.917;32;8487882;10;2.498.298;12.154.024;37.9
2;2.012.917;19.5;3065947;9;2.498.034;12.153.951;42.2
3;2.013.583;13.3;5619845;5;2.498.746;12.154.391;47.3
4;2.013.500;13.3;5619845;5;2.498.746;12.154.391;54.8
5;2.012.833;5;3905684;5;2.497.937;12.154.245;43.1
6;2.012.667;7.1;2175.03;3;2.496.305;12.151.254;32.1
7;2.012.667;34.5;6234731;7;2.497.933;12.153.642;40.3
8;2.013.417;20.3;2876025;6;2.498.042;12.154.228;46.7
9;2.013.500;31.7;5512038;1;2.495.095;12.148.458;18.8
10;2.013.417;17.9;1783.18;3;2.496.731;12.151.486;22.1
11;2.013.083;34.8;4052134;1;2.497.349;12.153.372;41.4
12;2.013.333;6.3;9045606;9;2.497.433;1.215.431;58.1
13;2.012.917;13;4922313;5;2.496.515;12.153.737;39.3
14;2.012.667;20.4;2469645;4;2.496.108;12.151.046;23.8
15;2.013.500;13.2;1164838;4;2.499.156;12.153.406;34.3
16;2.013.583;35.7;5792083;2;249.824;12.154.619;50.5
17;2.013.250;0;2929978;6;2.497.744;12.154.458;70.1
18;2.012.750;17.7;3508515;1;2.497.544;12.153.119;37.4
19;2.013.417;16.9;3681363;8;249.675;12.154.451;42.3
20;2.012.667;1.5;2338284;7;2.496.772;12.154.102;47.7
21;2.013.417;4.5;2275877;3;2.496.314;12.151.151;29.3
22;2.013.417;10.5;2791726;7;2.497.528;12.154.541;51.6
23;2.012.917;14.7;1360139;1;2.495.204;12.154.842;24.6
24;2.013.083;10.1;2791726;7;2.497.528;12.154.541;47.9
25;2.013.000;39.6;4806977;4;2.497.353;12.153.885;38.8
26;2.013.083;29.3;1487868;2;2.497.542;12.151.726;27
27;2.012.667;3.1;3838624;5;2.498.085;12.154.391;56.2
28;2.013.250;10.4;276449;5;2.495.593;12.153.913;33.6
29;2.013.500;19.2;557478;4;2.497.419;12.153.797;47
30;2.013.083;7.1;4512438;5;2.497.563;12.154.694;57.1
31;2.013.500;25.9;4519.69;0;2.494.826;12.149.587;22.1
32;2.012.750;29.6;7694034;7;2.498.281;12.153.408;25
33;2.012.750;37.9;4885727;1;2.497.349;12.153.451;34.2
